Source ID,Source Name,Repository,Total Downloads,Bundle Count,Version Count,Latest Release
dsre-git-skillset,Git Skillset,amadeus-digital/dsre-git-skillset,1,1,1,2026-03-13T14:41:17Z
spec-driven-instructions,Task driven workflow,amadeus-airlines-solutions/workflow-instructions,578,3,17,2026-03-05T10:29:13Z
ospo-skills,OSPO Skills Collection,Amadeus-xDLC/ospo-skills-collection,47,1,1,2026-01-19T17:16:13Z
aude-skills,AUDE Skills Collection,amadeus-cloud-platform/aud.aude-skills-collection,27,1,1,2026-02-06T16:45:46Z
slidev-skills,Slidev Skills Collection,Amadeus-xDLC/devops.slidev-skills-collection,14,1,1,2026-02-06T17:30:46Z
ai-engineering-primitives,AI Engineering Primitives,amadeus-airlines-solutions/ai-engineering-primitives,3,1,1,2026-03-19T14:41:41Z
code-reviewer-generator-skills,PR Reviewer Generator,Amadeus-xDLC/gen.code-reviewer-generator-skills-collection,48,1,1,2026-03-19T12:48:28Z
offer-agent-skills,Offer Skills Collection,amadeus-altea-offer/agent-skills,49,2,2,2026-03-12T22:44:11Z
etk-workflow-instructions,ETK Workflow Instructions,amadeus-order/ticketing.etk-workflow-instructions,19,1,1,2026-03-02T13:20:44Z
refx-nre-qa,RefX NRE QA Agents,amadeus-digital/refx-nre-qa-agents,10,1,1,2026-03-05T05:20:27Z
clean-code-in-the-cloud,Clean Code in the Cloud,Amadeus-xDLC/genai.clean-code-in-the-cloud-skills-collect,13,2,2,2026-03-17T20:21:17Z
